code,libelle,type_officiel,region,adresse
060482,INFIRMERIE DU LYCEE DE TOKOIN I,USP type I,GRAND LOMÉ,LYCEE DE TOKOIN I
060483,CMS ALPHA ET OMEGA,USP type II,GRAND LOMÉ,AGOE
060484,CLINIQUE EL-ELYON SANTE,CHU,GRAND LOMÉ,"Lomé, quartier Adidogomè (Amadahomé) face à la société TOGO GRAIN"
060485,CABINET MEDICAL SAINTE VERONIQUE,CHU,GRAND LOMÉ,Agoè-Adjougba
060486,CMS NOTRE DAME DE FATIMA D'AVEDJI,CHR,GRAND LOMÉ,"Lomé, quartier Avédji, dans l'enceinte de la paroisse Notre Dame de Fatima, non loin du carrefour Limousine Sœur BLIVI Adolévi Cafoumawou Marie-Judit"
060487,CMS FIDEL CASTRO,USP type II,GRAND LOMÉ,Agoè Zongo
060488,LUNETTERIE ANOPTIC,CENTRE DE LUNETTERIE,GRAND LOMÉ,"Lomé, Adidogomé, Bd du 30 août"
060489,CENTRE DE BASSE VISION ET OPTIQUE MEDICALE (CBVOM) SARL,CENTRE DE LUNETTERIE,GRAND LOMÉ,"Lomé, Attiégou, rue près de l'école IPL Les Savoirs M. Amah Biova Kossi HILLAH, Ingénieur de conception en optométrie et optique, Responsable de la Lunetterie"
060490,OMEGA OPTIQUE,CENTRE DE LUNETTERIE,GRAND LOMÉ,"Lomé, Massouhoun, rue Avenue de la chance Mme Akpénè Essivi AHIATSI, Technicienne Supérieure en optique lunetterie, Responsable de la lunetterie"
060491,CMS LA CONFIANCE,HOPITAL DE DISTRICT,GRAND LOMÉ,Adidogomé Wonyomé
060492,PHARMACIE DENIS,PHARMACIE,GRAND LOMÉ,"Agoè Kové, non loin du carrefour Kpogli Dr TAKOUDA Sambena M. Victoire, Docteur en pharmacie, Responsable de la pharmacie"
060493,CLINIQUE FLOREAL DE LOME,CHU,GRAND LOMÉ,"""Lomé, Agoè Anomè, non loin de l'hôtel Saint Mannick Dr KOUTENE Kossi, Médecin Généraliste, titulaire de la clinique"""
060494,CLINIQUE MEDICALE MAYO CLINIC,CHU,GRAND LOMÉ,"Lomé, Adidogomé Logoté"
060495,LUNETTERIE ESSENOU-OPTIQUE,CENTRE DE LUNETTERIE,GRAND LOMÉ,"Lomé, quartier Cassablanca à côté de la pharmacie Bon Secours M. ACKEY Amewanou Komi, Opticien, Responsable de la lunetterie"
060496,PHARMACIE ST PHILIPPE,PHARMACIE,GRAND LOMÉ,"Sanguéra, route nationale N° 5, à 80 mètres de la station d'essence OANDO Dr YERIMA-AKONDO Idi-Essa, Docteur en Pharmacie, Titulaire et Responsable de la pharmacie"
060497,CABINET DENTAIRE TCHAYEN,CHU,GRAND LOMÉ,"Agoè Assiyéyé, face Institut Technique KOUVAHEY Dr JIMONGOU Sambiani Kpangou, Chirurgien-dentiste, titulaire du cabinet"
060498,PHARMACIE CONSEIL,PHARMACIE,GRAND LOMÉ,"Carrefour du CEG Sagbado-Logoté, Dr KPATCHA-MOUZNA Essohanam, Docteur d'Etat en pharmacie et titulaire de la pharmacie"
060499,PHARMACIE LA NOUVELLE TULIPE,PHARMACIE,GRAND LOMÉ,"Agoè-Légbassito, route de Mission Tové près de la station CAP Dr AMENYAH Adjovie Séfako Epouse SENAH, Docteur en pharmacie, titulaire et Responsable de la pharmacie"
060500,CABINET MEDICAL DELTA-SANTE,CHU,GRAND LOMÉ,"Lomé, Gbossimè Attikpa Dr ADJAMGBA Ayayi Aguzo, Médecin-Généraliste, Responsable du Cabinet"
060501,CLINIQUE CHIRURGICALE DE WONYOME,CHU,GRAND LOMÉ,"""Lomé, Wonyomè, non loin de l'Eglise catholique Dr SODJI Kwamivi, Médecin Chirurgien, Orthopédiste et Traumatologue, Titulaire et Responsable de la clinique"""
060502,CLINIQUE MEDICALE SAINT ALFRED,CHU,GRAND LOMÉ,"""Lomé, Agoè Téléssou Dr BOUKARI OURO BOYA Taniratou, Médecin Généraliste, Titulaire et Responsable de la clinique"""
060503,PHARMACIE AGBALEPEDOGAN GROUPE C,PHARMACIE,GRAND LOMÉ,"""Lomé, rue de la Fraternité 232, Agbalépédogan groupe C Dr DOMINGO Djibril, Docteur en Pharmacie, Titulaire et Responsable de la Pharmacie"""
060504,CLINIQUE OASIS,CHU,GRAND LOMÉ,Légbassito Avinato
060505,CABINET DENTAIRE DEO GRATIAS,CHU,GRAND LOMÉ,"""Agoè Cacaveli non loin de la Cour d'Appel, von du CIB-INTA, rue derrière le bâtiment A de Formatec Dr MANGAMANA K. Bawubadi, Chirurgien-Dentiste, Responsable du Cabinet"""
060506,CLINIQUE MANDELA MADIBA,CHU,GRAND LOMÉ,"""Lomé, Adidogomè Madiba, non loin de ORABANK Assiyéyé Dr AGBOTRO Akoeba Kafui, Médecin Généraliste, Titulaire et Responsable de la clinique"""
060507,CABINET MEDICAL PATIENCE,CHU,GRAND LOMÉ,"""Amadahomé non loin de la BTCI Dr BALI Léleng Germaine, médecin Généraliste, Titulaire et Responsable du Cabinet Médical"""
060508,CABINET MEDICAL SEQUOIA,CHU,GRAND LOMÉ,"""Lomé, Agbalépédogan, deuxième von à gauche après la HAAC Dr AKOMATSRI Essenam, Médecin Généraliste, Titulaire et Responsable du cabinet médical"""
060509,CLINIQUE AVICIENNE,CHU,GRAND LOMÉ,"""Lomé, Agbalepédogan non loin de la gare routière Dr DOLEAGBENOU Komlan Mawulolo, Médecin généraliste, Titulaire et responsable de la clinique"""
060510,CABINET MEDICAL LE MESSIE,CHU,GRAND LOMÉ,"""Lomé, Avédji, rue CAP Amandahomé Dr SOUSSOU Ayaovi Dziyédzom, Médecin Généraliste, Titulaire et Responsable du Cabinet médical"""
060511,PHARMACIE ADOUNI,PHARMACIE,GRAND LOMÉ,"""Lomé, Vakpossito-Logogomé, près du carrefour AISED Dr RASAK Soukouratou, Docteur en pharmacie, Titulaire et Responsable de la pharmacie"""
060512,CLINIQUE TITUS,CHU,GRAND LOMÉ,"Lomé, Agodéké, canton de Baguida non loin de la maison royale Dr NORMAN Keith Claudia Adjoa Sika, Médecin Généraliste, Titulaire et Responsable de la clinique"
060513,CLINIQUE MEDICO CARDIOLOGIQUE COEUR DE GRACE SARL,CHU,GRAND LOMÉ,"""Lomé, Totsivi-Gblinkomé, Rue Agbodi, 5ème von à gauche en venant des pavés de Djidjolé, non loin de la salle des Témoins de Jéhovah Dr EHLAN Koffi Efadji, Médecin cardiologue, Titulaire et Responsable"
060514,PHARMACIE «AMEN»,PHARMACIE,GRAND LOMÉ,"""Adétikopé, non loin du marché et de l'église catholique Dr VUKE- WELEDJI Sitsopé Amen, Titulaire et Responsable de la pharmacie"""
060515,CLINIQUE MEDICALE EMMADILE,CHU,GRAND LOMÉ,"Lomé, Amadahomé"
060516,CABINET MEDICAL «ZOE»,CHU,GRAND LOMÉ,"""Lomé, Avenou, bd du 30 août, rue, église des Assemblées de Dieu (temple Mont Carmel) Dr TODO- ALIPUI Ablavi Ena, Médecin cardiologue, titulaire et responsable du cabinet"""
060517,CMS LE SEUL,USP type II,GRAND LOMÉ,"Lomé, Agoè Atiomé"
060518,PHARMACIE «J- MIMSHAK»,PHARMACIE,GRAND LOMÉ,"""Lomé, Tokoin wuiti, 964, rue de Tchamba, ancien site de la pharmacie OUSIA POUR LA VIE Dr BATANATA Manawèsoué Micheline, Docteur en pharmacie, titulaire et responsable de la pharmacie"""
060519,PHARMACIE ASSURANCE,PHARMACIE,GRAND LOMÉ,Adétikopé
060520,CABINET DENTAIRE LA PATIENCE,CHU,GRAND LOMÉ,"Agoè-Nyivé, Koffi Panou Dr SOGOYOU Sim, Chirurgien- dentiste, Titulaire et Responsable du cabinet"
060521,PHARMACIE DE SEGBE,PHARMACIE,GRAND LOMÉ,"Ségbé, quartier Zanvi, près de l'EPP et du CEG Ségbé Dr ATTITSO Adjo mawulie, Docteur d'Etat en pharmacie, Titulaire et Responsable de la pharmacie"
060522,CLINIQUE LE PEUPLIER,CHR,GRAND LOMÉ,"Agoè logopé, non loin du bar Océanos"
060523,CMS LA SOLUTION,USP type II,GRAND LOMÉ,Agoè Légbassito (Kové) non loin du carrefour Napoléon
060524,CMS NOTRE DAME DE L'ESPERANCE,HOPITAL DE DISTRICT,GRAND LOMÉ,Tokoin séminaire dans l'enceinte des Saints Martyrs de l'Ouganda
060525,CABINET MEDICAL SAINT EMMANUEL,CHU,GRAND LOMÉ,"Lomé, Agoè-Cacaveli, à 500 mètres de la nouvelle Cour d'Appel, palais du Renouveau Dr AMAKOUTOU Kouami, Médecin généraliste, Titulaire du cabinet Dr ANAYO Komla Nyinèvi, Médecin neurologue, Responsable du cabinet"
060526,CLINIQUE DU CENTRE,CHU,GRAND LOMÉ,"Lomé, Djidjolé, 127 rue Aflao-Gakli, face à la pharmacie Djidjolé Dr WEBIKE Mindamou Dadja, Médecin généraliste, Titulaire et Responsable de la clinique"
060527,PHARMACIE CLEMENCE,PHARMACIE,GRAND LOMÉ,"Agoè-Cacaveli, Près de l'agence CEET"
060528,CMS VALLEE DE BERACA,CHR,GRAND LOMÉ,"Agoè-Nyivé, Vakpossito non loin du carrefour FICHE Dr TSEDI Kodzo Edemvi, Médecin généraliste, Représentant de l'association Dr MEDEDJI Mawoussé, Médecin généraliste, Responsable du CMS"
060529,PHARMACIE ELEMAWUSSI,PHARMACIE,GRAND LOMÉ,"Adétikopé, quartier Medina, sur la nationale N° 1 Dr AHANOGBE Kokou Anani Lem, Docteur en Pharmacie, Titulaire et Responsable de la pharmacie"
060530,CABINET DENTAIRE DONIN,CHU,GRAND LOMÉ,"782, Bd de PYA, Djidjolé, Aflao- Gakli, Immeuble en face de la rue menant vers le palais du chef canton Dr DJAGBA Todin Dovi, Chirurgien-Dentiste, Responsable du cabinet"
060531,CLINIQUE MEDICO- PSYCHIATRIQUE DE LOME,CHU,GRAND LOMÉ,"Agoè-Zongo, von de la BTCI Dr GBETOGBE Komlan Mawuko, Médecin psychiatre, Titulaire et responsable de la clinique"
060532,CABINET MEDICAL ELITE,CHU,GRAND LOMÉ,"Agoé SORADE, non loin de Fil'O Parc et du dépôt d'eau Vitale"
060533,CLINIQUE DE L'ATLANTIQUE,CHU,GRAND LOMÉ,"Lomé, route nationale N° 2, Baguida- Bateauvi"
060534,PHARMACIE CITRUS,PHARMACIE,GRAND LOMÉ,"Lomé, Attiégou DVA sur le grand contournement Dr AKUETEY- AKUE Adolé Akossiwa,Docteur d'Etat en Pharmacie, Titulaire et responsable de la pharmacie"
060535,CMS LE RECONFORT,CHU,GRAND LOMÉ,"Agoè Adjougba, en face de l'EPP Adjougba SORAD 2, sur le prolongement de la CEET Kégué Dr AJAVON Ayi Emmanuel, Titulaire et Responsable du centre"
060536,CLINIQUE LA MISERICORDE,CHU,GRAND LOMÉ,"Agoè-Logopé, non loin de l'école privée la Bruyère, von face pharmacie LA BARAKAT Dr AGBO Vidékon Stanislas, Médecin Généraliste, Titulaire et Directeur Général de la clinique"
060537,CABINET MEDICAL SAINT PIO,CHU,GRAND LOMÉ,"Route de Kpalimé, 5683 Bd du 30 août, Avénou Dr ASSIMA Dewouliwa Nana Claire, Titulaire du centre Dr GUEDENON Koffi Mawuse, Responsable du centre"
060538,CLINIQUE MEDICALE SAINT FRANCOIS PREMIER,CHU,GRAND LOMÉ,"Agoè Zongo, 2ème von à gauche derrière la poste Dr KOUGNAGLO Kokouvi Adjéwoda, Médecin Généraliste, Titulaire et Directeur Général de la clinique"
060539,PHARMACIE LE ROCHER,PHARMACIE,GRAND LOMÉ,"Agoè-Zongo après le terrain de Golf Agoè, Nationale N°1 Dr SAMAH- MOLA Fahimatou, Docteur d'Etat en Pharmacie, Titulaire et Responsable de la Pharmacie"
060540,PHARMACIE NELLY'S,PHARMACIE,GRAND LOMÉ,"Lomé, Adidogomè Klémé non loin du château d'eau Dr LAWSON- CHROCO Latré Rachel Nathalie, Docteur en Pharmacie, Titulaire et Responsable de la Pharmacie"
060542,CABINET MEDICAL LE POINT DU JOUR,CHU,GRAND LOMÉ,"128, Rue Tantigou, Tokoin Cébévito Dr BELO Moufo, Médecin Neurologue, titulaire et Responsable du Cabinet médical"
060543,CLINIQUE DE GYNECOLOGIE OBSTETRIQUE SHEKINA,CHU,GRAND LOMÉ,"Agoè-Logopé, à côté du complexe scolaire Bruyère, dans la von de l'entreprise GEOTECH"
060544,CMS MISERICORDIA,CHU,GRAND LOMÉ,"Quartier Agbalépédogan, venant de la HAAC, premier von à gauche après la pharmacie Vigueur, Lomé. Dr. SATO Aléki, Médecin généraliste, Responsable du CMS"
060545,PHARMACIE EL-NISSI,PHARMACIE,GRAND LOMÉ,"Lomé, Adidogomé, Apédokoè- Gbomamè Dr DZOTSI Komla Senam Victor, Docteur d'Etat en pharmacie, Titulaire et Responsable de la pharmacie"
060546,PHARMACIE EVA,PHARMACIE,GRAND LOMÉ,"Zanguera Klikamé, non loin de la station T-Oil AKPOTO- KOUGBLENOU Apéli Adjoa Jennifer, Docteur d'Etat en pharmacie, Titulaire et Responsable de la pharmacie"
060547,CMS OSER,USP type II,GRAND LOMÉ,"Agoè Légbassito après la pharmacie M'BA M. M'BOUSSI Pyabalo Essohounamotom, Assistant médical, Directeur du Centre"
060548,CLINIQUE MYRA,CHU,GRAND LOMÉ,"Togblékopé, carrefour Herman, Immeuble pharmacie Zongo. Pr N'DAKENA Koffi Gilbert, médecin radiologue, Titulaire et Responsable"
060549,CLINIQUE VIRGO MARIA,CHU,GRAND LOMÉ,"Carrefour Kégué après le stade en allant vers la haute tension à gauche. Dr BALLEBAKO Djètéga Banssaga Rodrigue, Médecin Gynécologue Obstétricien, Titulaire et Responsable"
060550,PHARMACIE DU CHÂTEAU D'EAU,PHARMACIE,GRAND LOMÉ,"Lomé, Bè Château, Avenue Augustino de Zouza, près du Château d'eau de Bè"
060551,CLINIQUE LA TROMPETTE,CHU,GRAND LOMÉ,"Agoè Démakpoe Camp FIR Dr FORTEY Kossi Afenyo, Médecin Titulaire de la clinique"
060552,CMS MA GUERISON,HOPITAL DE DISTRICT,GRAND LOMÉ,"Agoè Légbassito, quartier Avinato Dr MEDEDJI Mawoussé, Médecin Généraliste, Titulaire du Centre Dr TCHALA Abou-Bakari, Médecin Généraliste, Responsable du centre"
060553,CLINIQUE MEDICALE TELLA'A,CHU,GRAND LOMÉ,"Adidogomè-Apédokoè à 100 m de l'institut Polytechnique du Golfe (IPG) en allant vers l'agence CEET de Sagbado Dr AMOUZOU Dadjo, Médecin Généraliste, Titulaire et Responsable du cabinet"
060554,CLINIQUE AIR MED,CHU,GRAND LOMÉ,"Agoè-Légbassito, sur la route de Mission Tové, non loin de la pharmacie M'BA dans la rue face à la quincallerie WAROU Dr ALFA Naka, Médecin Cardiologue, Titulaire et Responsable de la clinique"
060555,CLINIQUE NEW,CHR,GRAND LOMÉ,"Agoè-Atiomé, carredour Kponsé- Kopé Dr BETINGNE Mingolibe Nabé, Médecin Généraliste, Titulaire et Responsable de la Clinique"
060556,CMS HOSANNA,USP type II,GRAND LOMÉ,Golfe1
060557,PHARMACIE IRIS,PHARMACIE,GRAND LOMÉ,"Lomé, Aflao Adidogomé- Amandahomé, immeuble HAVON non loin de la station CAP à côté de Casses Auto"
060558,CMS MON SEIGNEUR JOSEPH STREBLER,HOPITAL DE DISTRICT,GRAND LOMÉ,Golfe1
060559,CMS ELEOS,HOPITAL DE DISTRICT,GRAND LOMÉ,Golfe1
060560,CABINET MEDICAL LES COLOMBES,CHU,GRAND LOMÉ,"Adidogomé-Assiyéyé, sur la route l'IPG-SAGBADO, derrière l'agence de la CEET Dr AFFOH-KASSAN Obidon, Médecin Généraliste, Titulaire du Cabinet Dr ADZATO Kofi Dodzi, Médecin Pédiatre, Gérant et Responsable des Soins"
060561,CMS ORAPES,USP type II,GRAND LOMÉ,Adidogomé
060562,CLINIQUE LA SERENITE,CHU,GRAND LOMÉ,"Lomé, Ségbé, derrière l'église catholique Dr AMEBOUBE Komi Séyram, Médecin généraliste, Titulaire et Responsable de la clinique"
060563,CMS BENEDICTION,CHR,GRAND LOMÉ,
060564,CLINIQUE NATHANAEL,CHU,GRAND LOMÉ,"Lomé, Tokoin Cassablanca, rue l'Est-Mono 197 ABV Dr OURO-AKPO Manaaf, Médecin généraliste, Titulaire et Responsable de la clinique"
060565,CABINET DE SOINS INFIRMIERS SANTE ESPOIR,USP type I,GRAND LOMÉ,"Agoè-Nyivé 6, Adétikopé avant le péage de Davié M. BAKAI Magnim Michel, Infirmier diplômé d'Etat, Titulaire et Responsable du centre"
060566,CLINIQUE RENAISSANCE,CHU,GRAND LOMÉ,"Agoè Sogbossito, rue Kpobie, 3ème von à droite, non loin de la station SOMAYAF Dr BATE Laré Palemangue, Médecin Généraliste, Titulaire et Responsable du centre"
060567,CLINIQUE MEDICO- CHIRURGICALE DES GRACES,CHU,GRAND LOMÉ,Agoè Démakpoè
060568,DAMA CLINIC,CHU,GRAND LOMÉ,"Akodéssewa non loin de l'hôtel SARAKAWA Dr ATAYI Ayikoé Raymond, Médecin généraliste, titulaire de la clinique Dr AGBOFOATI Bright D. Kodzovi, médecin gynécologue, Responsable de la clinique"
060569,PHARMACIE LIDDY,PHARMACIE,GRAND LOMÉ,"Djikamé en face de la réserve militaire Dr AGBENDA Pirénam Aimée, Docteur en pharmacie, Titulaire et Responsable de la pharmacie"
060570,PHARMACIE ZOPOMAHE,PHARMACIE,GRAND LOMÉ,"Zopomahe sur la route Zossime- Sanguera non loin loin des témoins de Jehovah Dr YANDI Manonwotikpoh, Docteur en pharmacie, Titulaire et Responsable de la pharmacie"
060571,INFIRMERIE DE LA LONATO,USP type I,GRAND LOMÉ,"2470, Avenue de la chance, Lomé, Agbalepedogan M. FAYA Akpéléssim, Master Sécurité, Santé au Travail, Responsable de l'Infirmerie"
060572,CMS UNIVERS SANTE,USP type I,GRAND LOMÉ,"Légbassito, Ahonkpoè Avékponou M. AGBENU Koffi Sitsopé, Assistant médical, Titulaire et Responsable du CMS"
060573,PHARMACIE AZUR,PHARMACIE,GRAND LOMÉ,Adidogomé Atigangomé Gbomamé
060574,INFIRMERIE DE L'ECOLE NATIONALE D'ADMINISTRATION (ENA),INFIRMERIE,GRAND LOMÉ,"Avenue de la Libération, quartier des Etoiles Dr TCHAPIDE-TRAORE Achraf, Médecin Généraliste, Responsable de l'Infirmerie"
060575,SOGEPH SA (HOPITAL DOGTA-LAFIE),NIVEAU DE SOINS 4,GRAND LOMÉ,"Agoe-Zongo, route nationale N° 1 Dr Tandore SALI, Directeur Général de l'hôpital Dr Eyouvei AKATA, Responsable des soins"
060576,CABINET MEDICAL D'OPHTALMOLOGIE HORUS,CHU,GRAND LOMÉ,Agbalepedo
060577,CABINET D'ASSISTANT MEDICAL ONIS,USP type II,GRAND LOMÉ,Agoè-Démakpoè
060578,CLINIQUE DE L'ALLIANCE,CHU,GRAND LOMÉ,Avénou à coté de l'église évangélique
060579,PHARMACIE LA SHEKINAH,PHARMACIE,GRAND LOMÉ,Légbassito Atiomé
060580,CLINIQUE PENIEL,CHU,GRAND LOMÉ,"Canton de Zanguéra, Atilamonou, rue de l'Eglise pentecôte en face de l'usine de tuyauterie"
060581,CMS PEM,USP type II,GRAND LOMÉ,Zanguéra Vogomé
060582,CABINET D'OPHTALMOLOGIE MAISON DES YEUX ESSINAM,CHU,GRAND LOMÉ,"Agoè-Téléssou, non loin de la brigade anti-criminalité"
060583,CLINIQUE MEDICALE MAKKAH AL MOUKARRAMAH,CHU,GRAND LOMÉ,"AGOE ANOKOUI, en face de CCL"
060584,CABINET MEDICAL SAINT LAZARE,CHU,GRAND LOMÉ,"AGOE PLANTATION, DERRIERE FIL'O PARK"
060585,CLINIQUE SPECIALISEE DE CARDIOLOGIE COEUR SACRE,CHU,GRAND LOMÉ,"AGOE-ASSIYEYE, à 200 m du marché"
060586,CLINIQUE EPHATA,CHU,GRAND LOMÉ,"SAGBADO-AGOTIME ; Dr N'TSOUKOU Komi Edem, Médecin généraliste, Titulaire et Responsable de la clinique"
060587,PHARMACIE LA PROSPERITE,PHARMACIE,GRAND LOMÉ,"Bd Eyadema, angle rue Kokoté"
060588,PHARMACIE ALTA,PHARMACIE,GRAND LOMÉ,
060589,PHARMACIE AGBEGNIGAN,PHARMACIE,GRAND LOMÉ,"Tokoin-Ramco, Avenue de la Libération près de BOMACO"
060590,CLINIQUE MEDICALE LES ARCADES,CHU,GRAND LOMÉ,Adidogomé-Apédokoè
060591,CLINIQUE MEDICALE DZIFA,CHU,GRAND LOMÉ,Adidogomé Wonyomé
060592,USP NYIVEMEGBLE,USP type I,GRAND LOMÉ,"NYIVEMEGBLE ; M. DAHOGO Larba, Responsable du centre"
060593,CMS MAISON DU HADJ,CHU,GRAND LOMÉ,Hédzranawoé Maison du Hadj
060594,CLINIQUE ORTELA,CHU,GRAND LOMÉ,"Lomé, Agbalépédo"
060595,CLINIQUE MEDICALE PAIN DE VIE,CHU,GRAND LOMÉ,Adidogomé-Apédokoé
060596,INFIRMERIE COMMUNE GOLFE 1,INFIRMERIE,GRAND LOMÉ,"36, Avenue Bè-Pa de SOUZA"
060597,LABORATOIRE D'ANALYSE MEDICALE «DAS LABOR»,CHU,GRAND LOMÉ,"Tokoin Habitat, rue des Cygnes (ancien siège ANASAP)"
060598,PHARMACIE EL NOUR,PHARMACIE,GRAND LOMÉ,"Alinka, quartier Nyiveme Gble"
060599,CABINET DE SOINS INFIRMIERS EDZODZINAM,USP type I,GRAND LOMÉ,"Ségbé, ancienne Douane, Près de l'EEPT ; Mme MISSIHU Adjoto Venunye, Infirmière diplômée d'Etat, Responsable du cabinet"
060600,CLINIQUE LES P'TITS ANGES,CHU,GRAND LOMÉ,"Lomé, Djidjolé non loin du Commissariat ; Dr Cynthia Adjowa EVLO, Médecin Généraliste, Responsable de la Clinique"
060601,INFIRMERIE DE L'INSTITUT NATIONAL D'HYGIENE (INH),INFIRMERIE,GRAND LOMÉ,"26, rue Nangbeto ; Dr MOUZOU Tchilalo, Responsable de l'infirmerie"
060602,CABINET MEDICAL EMERAUDE,CHU,GRAND LOMÉ,"LOME, ATTIEGLomé, Attiégou ; Dr ADJOGBLE Gagnon Carmel, Médecin Généraliste, Titulaire et Responsable du Cabinet"
060603,CABINET MEDICAL SAM,CHU,GRAND LOMÉ,"Agoè-Légbassito, route du contournement, derrière la station d'essence T-OIL ; Dr TOGBEY Kwamy, Titulaire et Responsable du Cabinet médical"
060604,CLINIQUE DE NEPHROLOGIE CESAR,CHU,GRAND LOMÉ,"Lomé, Attiégou ; Dr TONA Komlan Georges, Médecin néphrologue, Titulaire et Responsable de la clinique"
060605,CLINIQUE NOVISSI,HOPITAL DE DISTRICT,GRAND LOMÉ,"Lomé Hédzranawoé face à la Gendarmerie de l'Aéroport Dr LAWSON Boevi Awuku, Titulaire et Responsable de la clinique"
060606,CMS LAETUS-TOGO,USP type II,GRAND LOMÉ,Adidogomè-Wonyomè
060607,CMS AMENUVEVE,USP type II,GRAND LOMÉ,Yokoe Agblégan
060608,CMS DON DE LA VIE,USP type II,GRAND LOMÉ,Ségbé-Akato
060609,CABINET DE KINESITHERAPIE KINEDOM,HOPITAL DE DISTRICT,GRAND LOMÉ,Avédji Coconut
060610,CLINIQUE MEDICALE ST CLEMENT EFRATA,CHU,GRAND LOMÉ,Hédzranawoé
060611,PHARMACIE MADINA,PHARMACIE,GRAND LOMÉ,"Bd jean Paul II, Wuiti en face de la cité de la CNSS"
060612,CLINIQUE MEDICALE LE JOURDAIN,CHU,GRAND LOMÉ,"Ségbé Akato, non loin de la frontière Togo-Ghana"
060613,CLINIQUE MEDICALE ALYAH,CHU,GRAND LOMÉ,"148, rue Agbalepedogan"
060614,CMS SANTE ESPOIR,HOPITAL DE DISTRICT,GRAND LOMÉ,Adétikopé
060615,INFIRMERIE BB LOME,INFIRMERIE,GRAND LOMÉ,"AGOE-CACAVELI, en face de l'Etat Major"
060616,CLINIQUE HANIEL,CHU,GRAND LOMÉ,"Ségbé, derrière Total Energium"
060617,CABINET DENTAIRE SALVE REGINA,CHU,GRAND LOMÉ,Adidogomé-Awatamé
060618,LUNETTERIE MEDICALE OPTIC'S EDEN,CENTRE DE LUNETTERIE,GRAND LOMÉ,"Lomé, Tokoin-Doumasséssé non loin de la pharmacie St KISITO"
060619,CLINIQUE MEDICALE ROMANUS,CHU,GRAND LOMÉ,"Lomé, Avédji"
060620,CMS SANTE ELITE,USP type II,GRAND LOMÉ,Togblécopé
060621,CLINIQUE D'ACCOUCHEMENT EUTOCIQUE ELIKE,USP type II,GRAND LOMÉ,Hédzranawoé Assivimé
060622,CLINIQUE MEDICALE EAGLE AFRICA INTERNATIONAL,CHU,GRAND LOMÉ,"Lomé, Tokoin-Ramco"
060623,CABINET MEDICAL ABETI,CHU,GRAND LOMÉ,"Agoè-Zossimè, Dalimé"
060624,CLINIQUE MEDICALE VALEO,CHU,GRAND LOMÉ,"Baguida, face à la station TOTAL"
060625,CABINET MEDICAL Dr PAKU,CHU,GRAND LOMÉ,Tokoin-Cassablanca
060626,PHARMACIE SEPOPO,PHARMACIE,GRAND LOMÉ,"Adakpamé Sawleto sur le grand contournement, non loin de la station SOMAYAF"
060627,PHARMACIE DODJI,PHARMACIE,GRAND LOMÉ,"Ségbé, Akato Viépé"
060628,CMS EWOEVO,USP type II,GRAND LOMÉ,"Adidogomé Yokoé, non loin du CEG"
060629,CMS GRACE DIVINE,USP type II,GRAND LOMÉ,AGOE-AHONKPOE
060630,CMS AVEPOZO,USP type II,GRAND LOMÉ,AVEPOZO
060631,PHARMACIE WASTINE,PHARMACIE,GRAND LOMÉ,Adidogomé Sagbado
060632,SERVICE DE SANTE DE L'OTR,INFIRMERIE,GRAND LOMÉ,"41, rue des impôts"
060633,INFIRMERIE SOTRAL,INFIRMERIE,GRAND LOMÉ,
060634,CMS IBAWI ILERA,USP type II,GRAND LOMÉ,Apédokoé-Gbomamé
060635,CABINET DE SOINS INFIRMIERS BETHESDA,USP type I,GRAND LOMÉ,légbassito
060636,CLINIQUE MEDICALE ASSILASSIME FRANCESCO,CHU,GRAND LOMÉ,ADETIKOPE AGOUTE
060637,CLINIQUE HHADEN,CHU,GRAND LOMÉ,Agoè-Telessou
060638,CABINET D'OPHTALMOLOGIE SIGHT & VISION,CHU,GRAND LOMÉ,"Lomé, Avénou, face à la station Total"
060639,PHARMACIE MATHILDA,PHARMACIE,GRAND LOMÉ,"Lomé, rue des Evalas, Agbalépédogan"
060640,PHARMACIE HYGEA,PHARMACIE,GRAND LOMÉ,Baguida derrière le lycée
060641,PHARMACIE LA RUCHE,PHARMACIE,GRAND LOMÉ,"Lomé, Attiégou, sur la voie menant au contournement"
060642,CMS JEAN JACQUES BAZIN,HOPITAL DE DISTRICT,GRAND LOMÉ,"Kégué, sur la rue de Kpatcha"
060643,CMS FOREVER- GRACE,USP type II,GRAND LOMÉ,Zopomahé
060644,CABINET MEDICAL SAINT NICOLAS,CHU,GRAND LOMÉ,"Lomé, kégué, dans la rue de l'HAPLUCIA"
060645,PHARMACIE GRATITUDE,PHARMACIE,GRAND LOMÉ,"Légbassito, carrefour Zovadjin"
060646,PHARMACIE SAG'BIBA,PHARMACIE,GRAND LOMÉ,"Nanégbé, à côté de la station T-oil"
060647,PHARMACIE SALA HOUBEIDA,PHARMACIE,GRAND LOMÉ,Agoè-Kélégougan
060648,PHARMACIE ZILIDJI,PHARMACIE,GRAND LOMÉ,"Agoè-Zongo, derrière le marché"
060649,MAMA CLINIQUE,CHU,GRAND LOMÉ,"Lomé, Léo 2000 près de l'église la Grande Grâce"
060650,CABINET D'ASSISTANT MEDICAL MARIE,USP type II,GRAND LOMÉ,Agoè-Vakpossito REINE DES VIERGES
